Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"INFANT FORMULA,WYETH-AYERST,SMA,W/IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,7,13.9,2.9,130.2
"INFANT FORMULA,WYETH-AYERST,SMA,LO IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,7,13.9,2.9,130.2
"INFANT FORMULA,WYETH-AYERST,NURSOY,W/IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,7,13.4,3.6,131
"INFANT FORMULA,CARNATION FOLLOW-UP,W/IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,5.4,17.3,3.4,131.4
"INFANT FORMULA,CARNATION,SOYALAC,W/IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,7.2,13.2,4.1,134
"INFANT FORMULA,CARNATION,I-SOYALAC,W/IRON,LIQ CONC,NOT RECON",Vegetarian,Miscellaneous,7.2,13.2,4,133.6
"SALAD DRSNG,MAYO,IMITN,MILK CRM",eggetarian,Fats and Edible Oils,5.1,11.1,2.1,98.7
"SOUP,BEAN W/PORK,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,4.42,16.97,5.88,131.18
"SOUP,BEAN W/FRANKFURTERS,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,5.31,16.75,7.6,145.19
"SOUP,CHILI BF,CANNED,CONDENSED,COMMERCIAL",Non-vegetarian,Miscellaneous,5.03,16.33,5.09,130.95
"SOUP,CRM OF ONION,CANNED,CONDENSED,COMMERCIAL",vegetarian,Miscellaneous,4.2,10.4,2.2,88.2
"SAUCE,NESTLE,CHEF-MATE ALLPURP STIR FRY SAU,READT TO SERVE",vegetarian,Miscellaneous,4.33,15.66,1.53,107.73
"SAUCE,NESTLE,CHEF-MATE CONEY ISLAND STYLE HOT DOG SAU,READT TO SERVE",Non-vegetarian,Miscellaneous,7.94,9.08,3.49,121.74
"SAUCE,NESTLE,CHEF-MATE BASIC CHEDDAR CHS SAU,READT TO SERVE",Non-vegetarian,Miscellaneous,7.58,12.93,2.9,131.54
"SAUCE,NESTLE,QUE BUENO JALAPENO CHS SAU,READT TO SERVE",Non-vegetarian,Miscellaneous,7.46,12.3,3.19,129.1
"POTATOES,MSHD,HOME-PREPARED,WHL MILK&MARGARINE",vegetarian,Other vegetables,4.23,16.71,1.88,112.43
"POTATOES,AU GRATIN,HOME-PREPARED FROM RECIPE USING BUTTER",vegetarian,Other vegetables,7.59,11.27,5.06,133.63
"POTATOES,MSHD,DEHYD,PREP FR FLKS WO/MILK,WHL MILK&BUTTER ADD",vegetarian,Other vegetables,5.6,15.02,1.9,118.08
"POTATOES,MSHD,DEHYD,PREP FR GRNLS WO/MILK,WHL MILK&BUTTER",vegetarian,Other vegetables,4.96,14.36,2.05,110.28
"POTATOES,AU GRATIN,DRY MIX,PREP W/H2O,WHL MILK&BUTTER",vegetarian,Other vegetables,4.12,12.84,2.3,97.64
"POTATOES,SCALLPD,DRY MIX,PREP W/H2O,WHL MILK&BUTTER",vegetarian,Other vegetables,4.3,12.77,2.12,98.26
"CORN PUDD,HOME-PREPARED",vegetarian,cereals,5.32,12.76,4.39,116.48
"POTATOES,AU GRATIN,HOME-PREPARED FROM RECIPE USING MARGARINE",vegetarian,Other vegetables,7.59,11.27,5.06,133.63
"POTATOES,MSHD,PREP FROM GRANULES,WO/MILK,WHL MILK&MARGARINE",vegetarian,Other vegetables,4.93,14.4,2.05,110.17
"POTATOES,MSHD,PREP FROM FLAKES,WO/MILK,WHL MILK&MARGARINE",vegetarian,Other vegetables,5.6,15.02,1.9,118.08
"POTATOES,MSHD,HOME-PREPARED,WHL MILK&BUTTER",vegetarian,Other vegetables,4.23,16.71,1.88,112.43
