Name,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CHEESE,PARMESAN,SHREDDED",Vegetarian,Milk and Milk Products,27.34,3.41,37.86,411.14
"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",Vegetarian,Milk and Milk Products,31.25,1.6,22.15,376.25
"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",Vegetarian,Milk and Milk Products,25.01,2.1,24.73,332.41
"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",Vegetarian,Milk and Milk Products,24.6,7.29,19.61,329
"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",Vegetarian,Milk and Milk Products,21.23,8.73,16.41,291.63
"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",Vegetarian,Milk and Milk Products,0.18,4.85,3.41,34.66
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",Vegetarian,Milk and Milk Products,1.98,5.49,3.95,55.58
"MILK,CANNED,EVAP,W/ VIT A",Vegetarian,Milk and Milk Products,7.56,10.04,6.81,135.44
"MILK,DRY,NONFAT,REG,W/ VIT A",Vegetarian,Milk and Milk Products,0.77,51.98,36.16,359.49
"MILK,DRY,NONFAT,INST,WO/ VIT A",Vegetarian,Milk and Milk Products,0.72,52.19,35.1,355.64
"CHEESE,GOAT,HARD TYPE",Vegetarian,Milk and Milk Products,35.59,2.17,30.52,451.07
"CHEESE,GOAT,SEMISOFT TYPE",Vegetarian,Milk and Milk Products,29.84,2.54,21.58,365.04
"CHEESE,GOAT,SOFT TYPE",Vegetarian,Milk and Milk Products,21.08,0.89,18.52,267.36
"EGG,YOLK,RAWFROZEN,SALTED",eggetarian,Milk and Milk Products,23,1.6,14,269.4
"CHEESE SUB,MOZZARELLA",Vegetarian,Milk and Milk Products,12.22,23.67,11.47,250.54
CHEESE FONDUE,Vegetarian,Milk and Milk Products,13.47,3.77,14.23,193.23
"CHEESE SAU,PREP FROM RECIPE",Vegetarian,Milk and Milk Products,14.92,5.48,10.33,197.52
"CHEESE,MEXICAN,QUESO ANEJO",Vegetarian,Milk and Milk Products,29.98,4.63,21.44,374.1
"CHEESE,MEXICAN,QUESO ASADERO",Vegetarian,Milk and Milk Products,28.26,2.87,22.6,356.22
"CHEESE,MEXICAN,QUESO CHIHUAHUA",Vegetarian,Milk and Milk Products,29.68,5.56,21.56,375.6
"CHEESE,LOFAT,CHEDDAR OR COLBY",Vegetarian,Milk and Milk Products,7,1.91,24.35,168.04
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",Vegetarian,Milk and Milk Products,32.62,1.91,24.35,398.62
"EGG,WHOLE,RAW,FROZEN",eggetarian,Milk and Milk Products,10.2,1.05,11.95,143.8
"EGG,WHITE,RAW,FROZEN",eggetarian,Milk and Milk Products,0,1.05,9.8,43.4
"EGG,WHITE,DRIED",eggetarian,Milk and Milk Products,0,7.8,81.1,355.6
"CHEESE,CREAM,FAT FREE",Vegetarian,Milk and Milk Products,1.36,5.8,14.41,93.08
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,Vegetarian,Milk and Milk Products,21,9.2,12,273.8
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,Vegetarian,Milk and Milk Products,9.5,16.2,16.3,215.5
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,Vegetarian,Milk and Milk Products,1,11.7,22.7,146.6
KRAFT VELVEETA PAST PROCESS CHS SPRD,Vegetarian,Milk and Milk Products,22,9.8,16.3,302.4
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,Vegetarian,Milk and Milk Products,10.6,11.8,19.6,221
KRAFT BREAKSTONE'S RED FAT SOUR CRM,Vegetarian,Milk and Milk Products,12,6.5,4.5,152
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,Vegetarian,Milk and Milk Products,1.3,15.1,4.7,90.9
KRAFT BREYERS LOWFAT STRAWBY YOGURT (1% MILKFAT),Vegetarian,Milk and Milk Products,0.8,18.2,3.8,95.2
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),Vegetarian,Milk and Milk Products,0.8,21.9,3.2,107.6
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),Vegetarian,Milk and Milk Products,0.9,19.9,3.8,102.9
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),Vegetarian,Milk and Milk Products,0.2,9.9,3.4,55
"ALLSPICE,GROUND",Vegetarian,Condiments and Spices,8.69,72.12,6.09,391.05
ANISE SEED,Vegetarian,Condiments and Spices,15.9,50.02,17.6,413.58
"BASIL,GROUND",Vegetarian,Condiments and Spices,3.98,60.96,14.37,337.14
"BAY LEAF,CRUMBLED",Vegetarian,Condiments and Spices,8.36,74.97,7.61,405.56
CARAWAY SEED,Vegetarian,Condiments and Spices,14.59,49.9,19.77,409.99
"CARDAMOM,GROUND",Vegetarian,Condiments and Spices,6.7,68.47,10.76,377.22
CELERY SEED,Vegetarian,Condiments and Spices,25.27,41.35,18.07,465.11
"CHERVIL,DRIED",Vegetarian,Condiments and Spices,3.9,49.1,23.2,324.3
CHILI POWDER,Vegetarian,Condiments and Spices,16.76,54.66,12.26,418.52
"CINNAMON,GROUND",Vegetarian,Condiments and Spices,3.19,79.85,3.89,363.67
"CLOVES,GROUND",Vegetarian,Condiments and Spices,20.07,61.21,5.98,449.39
"CORIANDER LEAF,DRIED",Vegetarian,Condiments and Spices,4.78,52.1,21.93,339.14
CORIANDER SEED,Vegetarian,Condiments and Spices,17.77,54.99,12.37,429.37
CUMIN SEED,Vegetarian,Condiments and Spices,22.27,44.24,17.81,448.63
CURRY POWDER,Vegetarian,Condiments and Spices,13.81,58.15,12.66,407.53
DILL SEED,Vegetarian,Condiments and Spices,14.54,55.17,15.98,415.46
"DILL WEED,DRIED",Vegetarian,Condiments and Spices,4.36,55.82,19.96,342.36
FENNEL SEED,Vegetarian,Condiments and Spices,14.87,52.29,15.8,406.19
FENUGREEK SEED,Vegetarian,Condiments and Spices,6.41,58.35,23,383.09
GARLIC POWDER,Vegetarian,Condiments and Spices,0.76,72.71,16.8,364.88
"GINGER,GROUND",Vegetarian,Condiments and Spices,5.95,70.79,9.12,373.19
"MACE,GROUND",Vegetarian,Condiments and Spices,32.38,50.5,6.71,520.26
"MARJORAM,DRIED",Vegetarian,Condiments and Spices,7.04,60.56,12.66,356.24
"MUSTARD SEED,YELLOW",Vegetarian,Condiments and Spices,28.76,34.94,24.94,498.36
"NUTMEG,GROUND",Vegetarian,Condiments and Spices,36.31,49.29,5.84,547.31
ONION POWDER,Vegetarian,Condiments and Spices,1.05,80.67,10.12,372.61
"OREGANO,GROUND",Vegetarian,Condiments and Spices,10.25,64.43,11,393.97
PAPRIKA,Vegetarian,Condiments and Spices,12.95,55.74,14.76,398.55
"PARSLEY,DRIED",Vegetarian,Condiments and Spices,4.43,51.66,22.42,336.19
"PEPPER,BLACK",Vegetarian,Condiments and Spices,3.26,64.81,10.95,332.38
"PEPPER,RED OR CAYENNE",Vegetarian,Condiments and Spices,17.27,56.63,12.01,429.99
"PEPPER,WHITE",Vegetarian,Condiments and Spices,2.12,68.61,10.4,335.12
POPPY SEED,Vegetarian,Condiments and Spices,44.7,23.69,18.04,569.22
POULTRY SEASONING,Vegetarian,Condiments and Spices,7.53,65.59,9.59,368.49
PUMPKIN PIE SPICE,Vegetarian,Condiments and Spices,12.6,69.28,5.76,413.56
"ROSEMARY,DRIED",Vegetarian,Condiments and Spices,15.22,64.06,4.88,412.74
SAFFRON,Vegetarian,Condiments and Spices,5.85,65.37,11.43,359.85
"SAGE,GROUND",Vegetarian,Condiments and Spices,12.75,60.73,10.63,400.19
"SAVORY,GROUND",Vegetarian,Condiments and Spices,5.91,68.73,6.73,355.03
"TARRAGON,GROUND",Vegetarian,Condiments and Spices,7.24,50.22,22.77,357.12
"THYME,GROUND",Vegetarian,Condiments and Spices,7.43,63.94,9.11,359.07
"TURMERIC,GROUND",Vegetarian,Condiments and Spices,9.88,64.93,7.83,379.96
"BASIL,FRESH",Vegetarian,Condiments and Spices,0.61,4.34,2.54,33.01
"DILL WEED,FRESH",Vegetarian,Condiments and Spices,1.12,7.02,3.46,52
"MUSTARD,PREPARED,YELLOW",Vegetarian,Condiments and Spices,3.11,7.78,3.95,74.91
"SALT,TABLE",Vegetarian,Condiments and Spices,0,0,0,0
"VINEGAR,CIDER",Vegetarian,Condiments and Spices,0,5.9,0,23.6
"THYME,FRESH",Vegetarian,Condiments and Spices,1.68,24.45,5.56,135.16
VANILLA EXTRACT,Vegetarian,Condiments and Spices,0.06,12.65,0.06,51.38
"VANILLA EXTRACT,IMITN,ALCOHOL",Vegetarian,Condiments and Spices,0,2.41,0.05,9.84
"VANILLA EXTRACT,IMITN,NO ALCOHOL",Vegetarian,Condiments and Spices,0,14.4,0.03,57.72
"CAPERS,CANNED",Vegetarian,Condiments and Spices,0.86,4.89,2.36,36.74
"HORSERADISH,PREPARED",Vegetarian,Condiments and Spices,0.69,11.29,1.18,56.09
"ROSEMARY,FRESH",Vegetarian,Condiments and Spices,5.86,20.7,3.31,148.78
"PEPPERMINT,FRESH",Vegetarian,Condiments and Spices,0.94,14.89,3.75,83.02
"SPEARMINT,FRESH",Vegetarian,Condiments and Spices,0.73,8.41,3.29,53.37
"SPEARMINT,DRIED",Vegetarian,Condiments and Spices,6.03,52.04,19.93,342.15
"BABYFOOD,MEAT,BF,STRAINED",Non-vegetarian,Miscellaneous,5.4,0,13.6,103
"BABYFOOD,MEAT,BEEF,JUNIOR",Non-vegetarian,Miscellaneous,4.9,0,14.5,102.1
"BABYFOOD,MEAT,VEAL,STRAINED",Non-vegetarian,Miscellaneous,4.8,0,13.5,97.2
"BABYFOOD,MEAT,VEAL,JUNIOR",Non-vegetarian,Miscellaneous,5,0,15.3,106.2
"BABYFOOD,MEAT,PORK,STRAINED",Non-vegetarian,Miscellaneous,7.1,0,14,119.9
"BABYFOOD,MEAT,HAM,STRAINED",Non-vegetarian,Miscellaneous,5.8,0,13.9,107.8
"BABYFOOD,MEAT,HAM,JUNIOR",Non-vegetarian,Miscellaneous,6.7,0,15.1,120.7
"BABYFOOD,MEAT,LAMB,STRAINED",Non-vegetarian,Miscellaneous,4.7,0.1,14.1,99.1
"BABYFOOD,MEAT,LAMB,JUNIOR",Non-vegetarian,Miscellaneous,5.2,0,15.2,107.6
"BABYFOOD,MEAT,CHICKEN,STRAINED",Non-vegetarian,Miscellaneous,7.9,0.1,13.7,126.3
"BABYFOOD,MEAT,CHICKEN,JUNIOR",Non-vegetarian,Miscellaneous,9.6,0,14.7,145.2
"BABYFOOD,MEAT,CHICKEN STKS,JUNIOR",Non-vegetarian,Miscellaneous,14.4,1.4,14.6,193.6
"BABYFOOD,MEAT,TURKEY,STRAINED",Non-vegetarian,Miscellaneous,5.8,0.1,14.3,109.8
"BABYFOOD,MEAT,TURKEY,JUNIOR",Non-vegetarian,Miscellaneous,7.1,0,15.4,125.5
"BABYFOOD,MEAT,TURKEY STKS,JUNIOR",Non-vegetarian,Miscellaneous,14.2,1.4,13.7,188.2
"BABYFOOD,MEAT,MEAT STKS,JUNIOR",Non-vegetarian,Miscellaneous,14.6,1.1,13.4,189.4
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STRAINED",Vegetarian,Miscellaneous,0.9,7.7,2,46.9
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JUNIOR",Vegetarian,Miscellaneous,0.8,8,2.1,47.6
"BABYFOOD,DINNER,BF LASAGNA,TODDLER",Non-vegetarian,Miscellaneous,2.1,10,4.2,75.7
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STRAINED",Non-vegetarian,Miscellaneous,1.47,9.45,2.36,60.47
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JUNIOR",Non-vegetarian,Miscellaneous,1.1,9.4,2.5,57.5
"BABYFOOD,DINNER,BF NOODLE,STRAINED",Non-vegetarian,Miscellaneous,2.26,8.18,2.44,62.82
"BABYFOOD,DINNER,BF&RICE,TODDLER",Non-vegetarian,Miscellaneous,2.9,8.8,5,81.3
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JUNIOR",Non-vegetarian,Miscellaneous,1.37,11.42,2.57,68.29
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODDLER",Non-vegetarian,Miscellaneous,1,10.8,5.3,73.4
"BABYFOOD,DINNER,BF STEW,TODDLER",Non-vegetarian,Miscellaneous,1.2,5.5,5.1,53.2
"BABYFOOD,DINNER,VEG&BEEF,STRAINED",Non-vegetarian,Miscellaneous,2.43,7.7,2.59,63.03
